eta_sq_regime,eta_sq_quality,eta_sq_interaction,f_regime,p_regime,f_quality,p_quality,model,layer,metric,denoised
0.029126496945850643,0.2631683760535108,0.011428657794954195,33.29811158970562,1.132106180862035e-08,300.8604147969738,2.0604898629439322e-57,qwen05b,0,full_speed,True
0.026316268865862694,0.26387027529714985,0.011195065550847729,29.98453849553965,5.841879953473198e-08,300.6516033030606,2.223246908292542e-57,qwen05b,0,full_turn_angle,True
0.6808212920818082,0.050884094496828416,0.08035420541721422,2883.5403426662515,7.615375525226689e-267,215.5137346439155,2.3428203658779e-43,qwen05b,0,full_tortuosity,True
0.6249457853983547,0.06260826907486408,0.09757893679888555,2315.1848584026325,7.838920766773229e-238,231.93966574321135,3.741808746516625e-46,qwen05b,0,full_dir_consistency,True
0.02915023196352361,0.2631420458263932,0.011418302505049816,33.324626206146355,1.1173880657263435e-08,300.8247182135013,2.087441749619864e-57,qwen05b,0,full_stabilisation,True
0.02914199459628813,0.26314553813993513,0.01141899814983926,33.31501547496135,1.1227005990034099e-08,300.8269611173286,2.0857379384568747e-57,qwen05b,0,full_radius_of_gyration,True
0.07217160677408166,0.229414485254792,0.0012730022817800599,82.4060079150896,8.566054633450194e-19,261.94694468866703,3.798457654528328e-51,qwen05b,0,full_effective_dimension,True
0.012100196075515919,0.2258732167743099,0.007867562991488181,11.760707542083207,0.0006387855098486088,219.536016399549,1.2205293926741917e-43,qwen05b,0,full_cos_slope_to_final,True
0.013305103529050791,0.22747956282943008,0.007486743555319344,12.973619755071319,0.00033722900702423306,221.81212974067154,5.069455595055251e-44,qwen05b,0,full_commitment_sharpness,True
0.7501805099820513,3.867068580232794e-06,0.0037676650784286047,2426.9402238198386,6.191139424417838e-244,0.012510514683807754,0.9109702132266027,qwen05b,0,clean_interlayer_alignment,True
0.7596428315519053,8.189651730504316e-06,0.004490066414316932,2563.7178082796186,4.025136610597921e-251,0.027639247173844077,0.8680019936780744,qwen05b,0,full_interlayer_alignment,True
0.029134743017829007,0.26316655843733167,0.011427508383640622,33.30779123120506,1.1267106409844182e-08,300.86061792621007,2.0603374974202366e-57,qwen05b,0,clean_speed,True
0.026595189096380405,0.2639690229296786,0.011142947567204868,30.316465092765377,4.953814925307245e-08,300.90433424698364,2.0278076668421236e-57,qwen05b,0,clean_turn_angle,True
0.6980420363470098,0.04732217717281812,0.07561772467690075,3103.8290512989242,6.730472983268086e-277,210.41705317398805,1.7657237325044095e-42,qwen05b,0,clean_tortuosity,True
0.6243808453974575,0.0627981160532448,0.09420211815613244,2273.3949652781935,1.7089984613155024e-235,228.65038528451916,1.3472365717307531e-45,qwen05b,0,clean_dir_consistency,True
0.025668296858163707,0.23176551966303446,0.002480316743225934,27.607559092056565,1.9095246668410732e-07,249.27560698533097,4.6820724368141586e-49,qwen05b,0,clean_stabilisation,True
