layer,metric,d_direct,d_cot,p_direct,p_cot
0,full_tortuosity,-1.2251812201031298,0.2026320063205148,2.181606615478156e-19,0.0456212228416596
0,full_dir_consistency,-1.5328160966895634,0.2894819677163744,1.2900085133090289e-30,0.004266716852963
0,clean_interlayer_alignment,0.2867287039638213,-0.3923032563257704,0.0132862640207365,0.0001120677011957
0,full_interlayer_alignment,0.3212769343763299,-0.4389981057874539,0.005692443803751,1.5786508165468836e-05
0,clean_tortuosity,-1.1569929458563628,0.3583946990784787,5.1534597698336654e-17,0.0004268729454907
0,clean_dir_consistency,-1.437114827285629,0.3080603016226076,7.715378448877286e-28,0.0023628709953904
0,clean_cos_slope_to_final,-0.5971724020934631,0.3461356260158411,0.0001001791224772,0.0007376721123344
1,full_turn_angle,0.2946690219466942,-0.5006695695168989,0.0110896331007515,1.0433306587045157e-06
1,full_dir_consistency,-1.382502125351159,0.307408500956177,1.1039789134336887e-20,0.0025345520228233
1,clean_interlayer_alignment,0.2867287039638213,-0.3923032563257704,0.0132862640207365,0.0001120677011957
1,full_interlayer_alignment,0.3212769343763299,-0.4389981057874539,0.005692443803751,1.5786508165468836e-05
1,clean_turn_angle,0.261112815019651,-0.4345128554024882,0.0237186513972058,2.097633747159754e-05
1,clean_dir_consistency,-1.2815197344472176,0.374419788307075,1.0087879584998301e-18,0.0002452451565798
2,full_turn_angle,0.304565946736048,-0.6512795988942127,0.00267886364563,2.9774379457323493e-10
2,full_dir_consistency,-1.4447062874764114,0.2039198968170021,7.336379925780007e-23,0.043410674546905
2,clean_interlayer_alignment,0.2867287039638213,-0.3923032563257704,0.0132862640207365,0.0001120677011957
2,full_interlayer_alignment,0.3212769343763299,-0.4389981057874539,0.005692443803751,1.5786508165468836e-05
2,clean_turn_angle,0.2665500808131443,-0.5863607288267862,0.0084774222550975,1.2650642945801926e-08
2,clean_dir_consistency,-1.3456100673175049,0.283003664561079,8.872938788226909e-21,0.0052104782836058
3,full_turn_angle,0.9044401614705276,-0.6471947643137891,6.686070959795371e-17,3.7882604931054905e-10
3,full_time_to_commit,1.5052846754907512,-0.3813541056079688,8.119356207037665e-16,0.0001720689900652
3,full_commitment_sharpness,1.1875895632346778,-0.3730814538603441,1.8942629917890298e-12,0.0002160523398194
3,clean_interlayer_alignment,0.2867287039638213,-0.3923032563257704,0.0132862640207365,0.0001120677011957
3,full_interlayer_alignment,0.3212769343763299,-0.4389981057874539,0.005692443803751,1.5786508165468836e-05
3,clean_turn_angle,0.8590771741864711,-0.55853004476904,1.6201784513436539e-15,5.6548666264751336e-08
3,clean_cos_slope_to_final,-0.3766245468918308,0.2840122380234068,0.0115167530653462,0.0055525141963383
4,full_turn_angle,1.061865454302226,-0.6210308160955385,3.613317202995712e-19,1.6570762660874983e-09
4,full_time_to_commit,1.448637654399737,-0.3925943457490596,6.341393856653296e-16,0.0001088716305783
4,full_commitment_sharpness,1.3679355296325009,-0.4587506188555786,3.4387448716387284e-17,6.1440324766676445e-06
4,clean_interlayer_alignment,0.2867287039638213,-0.3923032563257704,0.0132862640207365,0.0001120677011957
4,full_interlayer_alignment,0.3212769343763299,-0.4389981057874539,0.005692443803751,1.5786508165468836e-05
4,clean_turn_angle,1.0082142016377829,-0.5742647603647459,2.0896512422683577e-17,2.3887966246253476e-08
4,clean_dir_consistency,-1.464299696557203,0.2623199829609952,5.981238268668483e-25,0.009533828250958
4,clean_cos_slope_to_final,-0.3308812318174169,0.4633426543169734,0.0160341050588218,7.28122474352904e-06
4,clean_time_to_commit,1.4584580797975404,-0.3246562177559205,3.2404867070152124e-15,0.0013098249165744
5,full_turn_angle,0.3637611530597995,-0.6118560432640409,0.0012805379984067,2.964726555194153e-09
5,full_dir_consistency,-1.5045439985756563,0.4012310901986063,7.149230643333305e-27,8.051943015556895e-05
5,full_time_to_commit,1.3531780856271032,-0.5531398262456739,2.965148063196847e-16,8.233414627962969e-08
5,full_commitment_sharpness,1.3896837298586218,-0.3769635804665915,2.5223681416736454e-20,0.0001841921600902
5,clean_interlayer_alignment,0.2867287039638213,-0.3923032563257704,0.0132862640207365,0.0001120677011957
5,full_interlayer_alignment,0.3212769343763299,-0.4389981057874539,0.005692443803751,1.5786508165468836e-05
5,clean_turn_angle,0.2927970147326177,-0.5696892870072562,0.0093258039549752,3.0524851389038116e-08
5,clean_tortuosity,-1.4170040258137535,0.2385355856769068,6.5298099718044895e-25,0.0181990723439402
5,clean_dir_consistency,-1.4048617571880777,0.6004033975192571,2.420054551713687e-24,6.080545923459099e-09
5,clean_time_to_commit,1.352428282771854,-0.5759233805981412,1.4484510110701639e-15,2.2957045080415448e-08
5,clean_commitment_sharpness,1.371306546044634,-0.324793728962514,4.8429650936630704e-20,0.0012370076120131
6,full_turn_angle,0.3235076857158851,-0.7038136584606075,0.0087324759314423,1.2269642220727014e-11
6,full_dir_consistency,-1.400876169287891,0.7182663451277024,1.4828473812322398e-22,7.599081442763824e-12
6,full_time_to_commit,1.1863751024141762,-0.3380114514468084,2.937901178258398e-14,0.0009159391491059
6,clean_interlayer_alignment,0.2867287039638213,-0.3923032563257704,0.0132862640207365,0.0001120677011957
6,full_interlayer_alignment,0.3212769343763299,-0.4389981057874539,0.005692443803751,1.5786508165468836e-05
6,clean_turn_angle,0.257114976180541,-0.6882628406066155,0.0352535816770582,3.3287562745524105e-11
6,clean_tortuosity,-1.290416524330276,0.2268973722353481,4.916709985620494e-20,0.0246930481700395
6,clean_dir_consistency,-1.296730855791291,0.7696142041142097,2.779081109569721e-20,2.9062981885681216e-13
6,clean_time_to_commit,1.1818902917559224,-0.4112789615427257,1.5521777715044858e-13,5.716022454760519e-05
7,full_dir_consistency,-1.442373356067504,0.6113909300496518,6.6053575722386174e-24,3.4354229264296037e-09
