eta_sq_regime,eta_sq_quality,eta_sq_interaction,f_regime,p_regime,f_quality,p_quality,f_interaction,p_interaction,model,layer,metric
0.5200734359863621,0.002962236857523961,0.0019174137168155737,871.4475209363561,6.003333215459795e-130,4.963595114254693,0.0261650596257693,3.2128644043494514,0.073441112032112,qwen05b,0,clean_phase_count
0.3520091168631907,0.07204020922375533,0.024360064673136325,507.9840960476278,2.1889572122992774e-87,103.96117261881653,4.992189163522902e-23,35.15399130260112,4.537465037043225e-09,qwen05b,0,full_speed
0.0010389837942787476,0.004690131738075019,3.621265241183757e-05,0.831826855058195,0.36202093484797854,3.754993634140239,0.0530033562536709,0.02899242214837938,0.864839801826483,qwen05b,0,full_turn_angle
0.8850111080749652,0.007586016783285818,0.012766092906827972,7443.922176886141,0.0,63.80679073075373,4.802035568991329e-15,107.37695971752262,1.0899738929408845e-23,qwen05b,0,full_tortuosity
0.8155244171221455,0.01583336776397356,0.02733890472374233,4594.070968591634,0.0,89.19366931549635,3.86481472793712e-20,154.0074899874224,1.8694512545004034e-32,qwen05b,0,full_dir_consistency
0.44040140523889754,0.015276139102975088,0.02292269113146064,672.343070366372,6.114547429482555e-108,23.32146570301388,1.64381958059275e-06,34.99514841017821,4.906168416091899e-09,qwen05b,0,full_stabilisation
0.9463025793104245,0.0027863068281228373,8.924287014634932e-07,14795.788192084281,0.0,43.564930042888605,7.48459154870474e-11,0.013953450336162689,0.9059986346881831,qwen05b,0,full_radius_of_gyration
0.8954126719945689,0.004853446768418719,0.0012443561384933163,7236.794838788336,0.0,39.225934167078165,6.172550824179797e-10,10.056983067487385,0.001575882791896685,qwen05b,0,full_effective_dimension
0.8381001593847992,0.0018046298861459091,0.0041247414295810724,3938.7418630478523,5.044328443897107e-297,8.481052294618012,0.003697673100852722,19.384666093924,1.2276729523208159e-05,qwen05b,0,full_cos_slope_to_final
0.46958219467764717,0.02694920536694942,0.009360664865137104,696.6165168665718,1.98322663336584e-108,39.97864865368981,4.460645951228905e-10,13.886373520579113,0.00020914234731103393,qwen05b,0,full_time_to_commit
0.3211467944830916,0.004375118208620542,0.003753656303260869,350.9647024536994,2.757072132509345e-64,4.781340143094953,0.02908516796061271,4.102176606519936,0.0431899359624846,qwen05b,0,full_commitment_sharpness
