metric,r,p
radius_of_gyration,0.8299246853874577,1.6325914685787841e-77
effective_dim,0.8715532541977918,3.030998287442106e-94
msd_exponent,0.007654705297430496,0.8949591183362164
cos_to_running_mean,-0.8276627712152849,9.748807125387332e-77
