problem_id,condition,layer,metric,value
0,direct,24,trajectory_curvature,1.9365234375
0,direct,0,commitment_sharpness,1.40625
0,direct,1,commitment_sharpness,1.140625
0,direct,2,commitment_sharpness,1.1005859375
0,direct,3,commitment_sharpness,1.08203125
0,direct,4,commitment_sharpness,1.0224609375
0,direct,5,commitment_sharpness,1.037109375
0,direct,6,commitment_sharpness,1.083984375
0,direct,7,commitment_sharpness,1.13671875
0,direct,8,commitment_sharpness,1.16796875
0,direct,9,commitment_sharpness,1.1279296875
0,direct,10,commitment_sharpness,1.1318359375
0,direct,11,commitment_sharpness,1.1005859375
0,direct,12,commitment_sharpness,1.1181640625
0,direct,13,commitment_sharpness,1.1171875
0,direct,14,commitment_sharpness,1.12890625
0,direct,15,commitment_sharpness,1.1474609375
0,direct,16,commitment_sharpness,1.087890625
0,direct,17,commitment_sharpness,1.2041015625
0,direct,18,commitment_sharpness,1.208984375
0,direct,19,commitment_sharpness,1.2294921875
0,direct,20,commitment_sharpness,1.19921875
0,direct,21,commitment_sharpness,1.22265625
0,direct,22,commitment_sharpness,1.353515625
0,direct,23,commitment_sharpness,1.3212890625
0,direct,24,commitment_sharpness,1.2421875
100,cot,0,next_layer_corr,0.010443096976139698
100,cot,1,next_layer_corr,0.8097477186140682
100,cot,2,next_layer_corr,0.8636324082732726
100,cot,3,next_layer_corr,0.8655295440842236
100,cot,4,next_layer_corr,0.8527916222827546
100,cot,5,next_layer_corr,0.85655978094123
100,cot,6,next_layer_corr,0.8737838777938076
100,cot,7,next_layer_corr,0.888741682471369
100,cot,8,next_layer_corr,0.8977899698459703
100,cot,9,next_layer_corr,0.9212838198076498
100,cot,10,next_layer_corr,0.9326782367407086
100,cot,11,next_layer_corr,0.9183403295673729
100,cot,12,next_layer_corr,0.9369698527807157
100,cot,13,next_layer_corr,0.931435603215748
100,cot,14,next_layer_corr,0.9021699045383788
100,cot,15,next_layer_corr,0.9001342837618018
100,cot,16,next_layer_corr,0.8715074607916079
100,cot,17,next_layer_corr,0.9265644096233749
100,cot,18,next_layer_corr,0.9491193041005442
100,cot,19,next_layer_corr,0.940282703871327
100,cot,20,next_layer_corr,0.9320036684456791
100,cot,21,next_layer_corr,0.9462776991888796
100,cot,22,next_layer_corr,0.9483376653982578
100,cot,23,next_layer_corr,0.3657878457191132
100,cot,0,trajectory_curvature,2.599609375
100,cot,1,trajectory_curvature,2.607421875
100,cot,2,trajectory_curvature,2.591796875
100,cot,3,trajectory_curvature,2.572265625
100,cot,4,trajectory_curvature,2.5625
100,cot,5,trajectory_curvature,2.55859375
100,cot,6,trajectory_curvature,2.5546875
100,cot,7,trajectory_curvature,2.548828125
100,cot,8,trajectory_curvature,2.546875
100,cot,9,trajectory_curvature,2.54296875
100,cot,10,trajectory_curvature,2.546875
100,cot,11,trajectory_curvature,2.544921875
100,cot,12,trajectory_curvature,2.54296875
100,cot,13,trajectory_curvature,2.541015625
100,cot,14,trajectory_curvature,2.5390625
100,cot,15,trajectory_curvature,2.5390625
100,cot,16,trajectory_curvature,2.537109375
100,cot,17,trajectory_curvature,2.537109375
100,cot,18,trajectory_curvature,2.54296875
100,cot,19,trajectory_curvature,2.54296875
100,cot,20,trajectory_curvature,2.544921875
100,cot,21,trajectory_curvature,2.546875
100,cot,22,trajectory_curvature,2.546875
100,cot,23,trajectory_curvature,2.55078125
100,cot,24,trajectory_curvature,
100,cot,0,commitment_sharpness,1.3271484375
100,cot,1,commitment_sharpness,1.365234375
100,cot,2,commitment_sharpness,1.2021484375
100,cot,3,commitment_sharpness,1.2041015625
100,cot,4,commitment_sharpness,1.267578125
100,cot,5,commitment_sharpness,1.259765625
100,cot,6,commitment_sharpness,1.318359375
100,cot,7,commitment_sharpness,1.3388671875
100,cot,8,commitment_sharpness,1.287109375
100,cot,9,commitment_sharpness,1.2724609375
100,cot,10,commitment_sharpness,1.291015625
100,cot,11,commitment_sharpness,1.26171875
100,cot,12,commitment_sharpness,1.318359375
100,cot,13,commitment_sharpness,1.33203125
100,cot,14,commitment_sharpness,1.2890625
100,cot,15,commitment_sharpness,1.2509765625
100,cot,16,commitment_sharpness,1.29296875
100,cot,17,commitment_sharpness,1.27734375
100,cot,18,commitment_sharpness,1.3125
100,cot,19,commitment_sharpness,1.314453125
100,cot,20,commitment_sharpness,1.2958984375
100,cot,21,commitment_sharpness,1.2314453125
100,cot,22,commitment_sharpness,1.384765625
100,cot,23,commitment_sharpness,1.3134765625
100,cot,24,commitment_sharpness,
100,direct,0,next_layer_corr,-0.006383645657851404
100,direct,1,next_layer_corr,0.7972216669537556
100,direct,2,next_layer_corr,0.8570930866152124
100,direct,3,next_layer_corr,0.8615789411949712
100,direct,4,next_layer_corr,0.8554985116147704
100,direct,5,next_layer_corr,0.8571004533030846
100,direct,6,next_layer_corr,0.8831655594104418
100,direct,7,next_layer_corr,0.8942962649800941
100,direct,8,next_layer_corr,0.8998910010476209
100,direct,9,next_layer_corr,0.9186724905350928
100,direct,10,next_layer_corr,0.925356759466841
100,direct,11,next_layer_corr,0.9108256520042602
100,direct,12,next_layer_corr,0.9295684022501708
100,direct,13,next_layer_corr,0.919791863542465
100,direct,14,next_layer_corr,0.8739023342325026
100,direct,15,next_layer_corr,0.8790715473621127
100,direct,16,next_layer_corr,0.7999911325058014
100,direct,17,next_layer_corr,0.8996688373581981
100,direct,18,next_layer_corr,0.9269026839472966
100,direct,19,next_layer_corr,0.9165105439717711
100,direct,20,next_layer_corr,0.9192286027969735
100,direct,21,next_layer_corr,0.9364292211406714
100,direct,22,next_layer_corr,0.9405013881048814
100,direct,23,next_layer_corr,0.31538545566318815
100,direct,0,trajectory_curvature,2.673828125
100,direct,1,trajectory_curvature,2.587890625
100,direct,2,trajectory_curvature,2.580078125
100,direct,3,trajectory_curvature,2.564453125
