comparison,g1,g2,layer,metric,g1_mean,g2_mean,cohens_d,p_value,significant
CoT Success vs Direct Failure,G4,G1,0,speed,1.180157308145003,1.2677633225917817,-2.3812923157048296,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dir_consistency,0.03436953736977141,0.0471615950390696,-1.64267041527996,0.0,True
CoT Success vs Direct Failure,G4,G1,0,stabilization,-0.002318202437656667,0.003926519471393637,-1.2192218401234858,0.0,True
CoT Success vs Direct Failure,G4,G1,0,turning_angle,2.036864070458846,2.067330149014791,-1.28575912100505,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dir_autocorr,-0.43922479802911935,-0.467648837864399,1.312243782289403,0.0,True
CoT Success vs Direct Failure,G4,G1,0,tortuosity,0.016113160677592817,0.03295925606042142,-4.98962189944936,0.0,True
CoT Success vs Direct Failure,G4,G1,0,effective_dim,14.436274563182485,11.096176217397055,1.782313436884445,0.0,True
CoT Success vs Direct Failure,G4,G1,0,cos_slope,0.0016427879983020744,-0.0024328097708159707,1.0037082999112181,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dist_slope,-0.001264215154389201,0.003059001596152073,-1.0699999024007028,0.0,True
CoT Success vs Direct Failure,G4,G1,0,early_late_ratio,1.0272801897742532,0.894557076493899,1.6449595379282083,0.0,True
CoT Success vs Direct Failure,G4,G1,0,radius_of_gyration,0.8822616533799605,0.9241023542483647,-2.1044105606353183,0.0,True
CoT Success vs Direct Failure,G4,G1,0,gyration_anisotropy,0.8621042095895615,0.8948607995670018,-1.8122862245896114,0.0,True
CoT Success vs Direct Failure,G4,G1,0,drift_to_spread,1.6171966617757625,1.4004393752415976,2.0601686446498113,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dir_autocorr_lag2,-0.050176518579775606,-0.018190340488763446,-1.1667142779886308,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dir_autocorr_lag4,0.057155486700040344,0.07012162342034568,-0.22717470299313555,0.118,False
CoT Success vs Direct Failure,G4,G1,0,dir_autocorr_lag8,0.013712898559275663,0.05438186096784191,-0.8784954330168439,0.0,True
CoT Success vs Direct Failure,G4,G1,0,vel_autocorr_lag1,-0.6906178431077437,-0.8289489603042602,2.526099740402005,0.0,True
CoT Success vs Direct Failure,G4,G1,0,vel_autocorr_lag2,-0.061066986832090366,0.006762063483814302,-1.296608319329496,0.0,True
CoT Success vs Direct Failure,G4,G1,0,vel_autocorr_lag4,0.07563716574910687,0.11502808258471002,-0.3754669661445788,0.009,False
CoT Success vs Direct Failure,G4,G1,0,msd_exponent,0.02769233110557411,0.02634694187522493,0.08376468157505823,0.548,False
CoT Success vs Direct Failure,G4,G1,0,cos_to_running_mean,0.568797146732157,0.5420412324865659,0.5991875257148823,0.0,True
CoT Success vs Direct Failure,G4,G1,0,cos_to_late_window,0.46652239669453016,0.34531267379721003,1.2321440466291582,0.0,True
CoT Success vs Direct Failure,G4,G1,0,time_to_commit,40.45454545454545,12.526666666666667,1.8804722289499183,0.0,True
CoT Success vs Direct Failure,G4,G1,0,recurrence_rate,0.03578320450373639,0.023295250896057294,1.1773215766035776,0.0,True
CoT Success vs Direct Failure,G4,G1,0,determinism,0.4352947093211534,0.2751782798770953,0.8126126261621921,0.0,True
CoT Success vs Direct Failure,G4,G1,0,laminarity,0.07254622670815997,0.031829610082899557,0.4563572234254589,0.004,False
CoT Success vs Direct Failure,G4,G1,0,trapping_time,2.0,2.0,0.0,1.0,False
CoT Success vs Direct Failure,G4,G1,0,diagonal_entropy,1.115681768731833,0.015999885021077936,8.372400880557759,0.0,True
CoT Success vs Direct Failure,G4,G1,0,psd_slope,-0.8557709615162109,-1.0367394379259858,0.4368869974485259,0.004,False
CoT Success vs Direct Failure,G4,G1,0,spectral_entropy,0.8847433382027224,0.8515456021257288,0.796694401525352,0.0,True
CoT Success vs Direct Failure,G4,G1,1,speed,21.61254785711115,22.383172887166342,-0.8914827916272737,0.0,True
CoT Success vs Direct Failure,G4,G1,1,dir_consistency,0.028255925801667258,0.04467772302528219,-2.1104960591884794,0.0,True
CoT Success vs Direct Failure,G4,G1,1,stabilization,-0.04516336697188647,0.011088169279697873,-0.6924755325893155,0.0,True
CoT Success vs Direct Failure,G4,G1,1,turning_angle,2.0260619900443335,2.058003032207489,-2.1063831019314505,0.0,True
CoT Success vs Direct Failure,G4,G1,1,dir_autocorr,-0.43356902707706796,-0.4616300653417905,2.1394419675321448,0.0,True
CoT Success vs Direct Failure,G4,G1,1,tortuosity,0.013929082885045853,0.03433975692217545,-5.576489600554781,0.0,True
CoT Success vs Direct Failure,G4,G1,1,effective_dim,22.357952135259456,14.395242239634197,3.85470589090025,0.0,True
CoT Success vs Direct Failure,G4,G1,1,cos_slope,0.001075623332603979,-0.0008515116076727798,0.7316091445193146,0.0,True
CoT Success vs Direct Failure,G4,G1,1,dist_slope,-0.024469573466585695,0.021235677723641242,-0.6754898937076004,0.0,True
CoT Success vs Direct Failure,G4,G1,1,early_late_ratio,1.037882802703164,0.9318484508991242,1.8787763129436832,0.0,True
CoT Success vs Direct Failure,G4,G1,1,radius_of_gyration,16.158618927001953,16.420865818659465,-0.36966982571760265,0.007,False
CoT Success vs Direct Failure,G4,G1,1,gyration_anisotropy,0.8019129147213241,0.9005100470810679,-4.899146229244057,0.0,True
CoT Success vs Direct Failure,G4,G1,1,drift_to_spread,1.4470070188695734,1.4498477502663931,-0.019438440702483448,0.894,False
CoT Success vs Direct Failure,G4,G1,1,dir_autocorr_lag2,-0.06058703518726604,-0.02670938327784821,-1.3997617248863958,0.0,True
CoT Success vs Direct Failure,G4,G1,1,dir_autocorr_lag4,0.059062146687541464,0.062058339512041094,-0.0705395744318334,0.632,False
CoT Success vs Direct Failure,G4,G1,1,dir_autocorr_lag8,0.01322075984254214,0.0445940956579276,-0.8375661603251606,0.0,True
CoT Success vs Direct Failure,G4,G1,1,vel_autocorr_lag1,-217.93825156471945,-245.09284215291342,1.52856652732067,0.0,True
CoT Success vs Direct Failure,G4,G1,1,vel_autocorr_lag2,-24.591019214283335,-8.920817898400127,-1.0852265510515782,0.0,True
CoT Success vs Direct Failure,G4,G1,1,vel_autocorr_lag4,20.547137852690437,22.917789022475482,-0.12953594905281063,0.38,False
CoT Success vs Direct Failure,G4,G1,1,msd_exponent,0.030966927025748624,0.022946162783139216,0.48095147744140104,0.002,False
CoT Success vs Direct Failure,G4,G1,1,cos_to_running_mean,0.5766737612811002,0.5924109474817911,-0.6125227638290195,0.0,True
CoT Success vs Direct Failure,G4,G1,1,cos_to_late_window,0.47401573441245337,0.43042883664369586,0.7735036495724571,0.0,True
CoT Success vs Direct Failure,G4,G1,1,time_to_commit,35.03636363636364,7.66,2.2774858370777458,0.0,True
CoT Success vs Direct Failure,G4,G1,1,recurrence_rate,0.006120782980575369,0.00029569892473117564,5.179009089471462,0.0,True
CoT Success vs Direct Failure,G4,G1,1,determinism,0.6778330595559053,0.17142857142857143,1.9598745503165562,0.0,True
CoT Success vs Direct Failure,G4,G1,1,laminarity,0.0,0.0,0.0,1.0,False
CoT Success vs Direct Failure,G4,G1,1,diagonal_entropy,0.6724370620872065,-1.000088900581841e-12,1.4797708688585622,0.0,True
CoT Success vs Direct Failure,G4,G1,1,psd_slope,-1.3696921454957383,-1.8657939792356841,0.8049126635754991,0.0,True
CoT Success vs Direct Failure,G4,G1,1,spectral_entropy,0.8468748889009909,0.783908460034952,0.9848584379037215,0.0,True
CoT Success vs Direct Failure,G4,G1,2,speed,22.263231416182084,23.08702838897705,-0.9716136416841228,0.0,True
CoT Success vs Direct Failure,G4,G1,2,dir_consistency,0.029036192900755143,0.045556515802939686,-2.091136050456045,0.0,True
CoT Success vs Direct Failure,G4,G1,2,stabilization,-0.04511803840112603,0.022580638350581158,-0.805542414587573,0.0,True
CoT Success vs Direct Failure,G4,G1,2,turning_angle,2.0094272548502143,2.0394944941997526,-2.145116028293279,0.0,True
CoT Success vs Direct Failure,G4,G1,2,dir_autocorr,-0.4191520116545937,-0.4460033231973648,2.1409527439721305,0.0,True
CoT Success vs Direct Failure,G4,G1,2,tortuosity,0.014014117326587392,0.03523758157466844,-5.990619139209516,0.0,True
CoT Success vs Direct Failure,G4,G1,2,effective_dim,23.080127455971457,14.762426204681397,3.9375868636990177,0.0,True
CoT Success vs Direct Failure,G4,G1,2,cos_slope,0.0009227427340561336,-0.0005220920503709851,0.6976742042918208,0.0,True
CoT Success vs Direct Failure,G4,G1,2,dist_slope,-0.026584950832675428,0.015095496783587584,-0.6212915595416956,0.0,True
CoT Success vs Direct Failure,G4,G1,2,early_late_ratio,1.0401362267407503,0.938695937593778,1.9621461534628504,0.0,True
CoT Success vs Direct Failure,G4,G1,2,radius_of_gyration,16.987022625316275,17.312288500467936,-0.485819487899847,0.0,False
CoT Success vs Direct Failure,G4,G1,2,gyration_anisotropy,0.813368108576734,0.9074211811257764,-5.387735679964407,0.0,True
CoT Success vs Direct Failure,G4,G1,2,drift_to_spread,1.427521562576294,1.4553450191020965,-0.2030086979337848,0.178,False
CoT Success vs Direct Failure,G4,G1,2,dir_autocorr_lag2,-0.07011764686216003,-0.03799136186746177,-1.4689728840021035,0.0,True
CoT Success vs Direct Failure,G4,G1,2,dir_autocorr_lag4,0.058468902930193974,0.060863790209890155,-0.0567199233828205,0.714,False
CoT Success vs Direct Failure,G4,G1,2,dir_autocorr_lag8,0.013525426808998662,0.046945496737656224,-0.8922050668028264,0.0,True
CoT Success vs Direct Failure,G4,G1,2,vel_autocorr_lag1,-224.13964122425426,-252.6665719095866,1.531357969896892,0.0,True
CoT Success vs Direct Failure,G4,G1,2,vel_autocorr_lag2,-30.31883076754483,-15.02295253376166,-1.1078291243024583,0.0,True
CoT Success vs Direct Failure,G4,G1,2,vel_autocorr_lag4,21.14387532039122,23.721335964004197,-0.1321544716013357,0.376,False
CoT Success vs Direct Failure,G4,G1,2,msd_exponent,0.050546285784090386,0.04726332492209896,0.20593637614128008,0.149,False
CoT Success vs Direct Failure,G4,G1,2,cos_to_running_mean,0.7077819867567583,0.7168951737880707,-0.5234299437214448,0.0,True
CoT Success vs Direct Failure,G4,G1,2,cos_to_late_window,0.6337935447692871,0.6099985111753146,0.6746733417907804,0.0,True
CoT Success vs Direct Failure,G4,G1,2,time_to_commit,32.018181818181816,7.666666666666667,1.9694209168973105,0.0,True
CoT Success vs Direct Failure,G4,G1,2,recurrence_rate,0.0016331727480968963,0.0,3.782191195526448,0.0,True
CoT Success vs Direct Failure,G4,G1,2,psd_slope,-1.3583576690861912,-1.8874679568169586,0.8256580292386133,0.0,True
CoT Success vs Direct Failure,G4,G1,2,spectral_entropy,0.8467446110568846,0.7844848381707598,0.9815640408939272,0.0,True
CoT Success vs Direct Failure,G4,G1,3,speed,23.30765810879794,24.091687825520832,-0.9828908104573325,0.0,True
CoT Success vs Direct Failure,G4,G1,3,dir_consistency,0.03039181374690745,0.046014598309993694,-1.904913498530274,0.0,True
CoT Success vs Direct Failure,G4,G1,3,stabilization,-0.03881078693573652,0.019635397040096963,-0.718756639423239,0.0,True
CoT Success vs Direct Failure,G4,G1,3,turning_angle,1.9986963228745893,2.023504099448522,-1.951392333378628,0.0,True
CoT Success vs Direct Failure,G4,G1,3,dir_autocorr,-0.410057133436203,-0.4322879452506701,1.9396941553123606,0.0,True
CoT Success vs Direct Failure,G4,G1,3,tortuosity,0.01433280303396957,0.03587719126914934,-6.288780074923692,0.0,True
CoT Success vs Direct Failure,G4,G1,3,effective_dim,23.54253416928378,15.175814040501912,3.9187613665611045,0.0,True
CoT Success vs Direct Failure,G4,G1,3,cos_slope,0.0011540714934838076,-0.00010724489768074386,0.5657171077765406,0.0,True
CoT Success vs Direct Failure,G4,G1,3,dist_slope,-0.029665729392526645,0.004713622814732909,-0.5096792723549133,0.0,True
CoT Success vs Direct Failure,G4,G1,3,early_late_ratio,1.0428977381099354,0.9458960086107254,2.012231393839941,0.0,True
CoT Success vs Direct Failure,G4,G1,3,radius_of_gyration,18.14711026278409,18.515853989919027,-0.595098277881874,0.0,True
CoT Success vs Direct Failure,G4,G1,3,gyration_anisotropy,0.8186759399538711,0.9091193704530955,-5.692798566263471,0.0,True
CoT Success vs Direct Failure,G4,G1,3,drift_to_spread,1.4297315467487681,1.4455726071198782,-0.1242504369577756,0.389,False
CoT Success vs Direct Failure,G4,G1,3,dir_autocorr_lag2,-0.07386200536381111,-0.04566040306352074,-1.3401550417373147,0.0,True
CoT Success vs Direct Failure,G4,G1,3,dir_autocorr_lag4,0.056910303112685606,0.05807096456800836,-0.028026958750103418,0.847,False
CoT Success vs Direct Failure,G4,G1,3,dir_autocorr_lag8,0.013649192196317007,0.046131125464841376,-0.8668741745088006,0.0,True
CoT Success vs Direct Failure,G4,G1,3,vel_autocorr_lag1,-238.38722617409445,-265.571517384847,1.4557793643729997,0.0,True
