problem_id,condition,group,correct,filename,n_layers,n_tokens,hidden_dim
55,direct,G1,False,55_direct.npy,37,32,2048
55,cot,G4,True,55_cot.npy,37,53,2048
56,direct,G1,False,56_direct.npy,37,32,2048
56,cot,G3,False,56_cot.npy,37,128,2048
57,direct,G1,False,57_direct.npy,37,32,2048
57,cot,G4,True,57_cot.npy,37,91,2048
58,direct,G1,False,58_direct.npy,37,32,2048
58,cot,G3,False,58_cot.npy,37,128,2048
59,direct,G1,False,59_direct.npy,37,32,2048
59,cot,G3,False,59_cot.npy,37,128,2048
60,direct,G1,False,60_direct.npy,37,32,2048
60,cot,G3,False,60_cot.npy,37,128,2048
61,direct,G1,False,61_direct.npy,37,32,2048
61,cot,G3,False,61_cot.npy,37,128,2048
62,direct,G1,False,62_direct.npy,37,32,2048
62,cot,G3,False,62_cot.npy,37,128,2048
63,direct,G1,False,63_direct.npy,37,32,2048
63,cot,G3,False,63_cot.npy,37,128,2048
64,direct,G1,False,64_direct.npy,37,32,2048
64,cot,G3,False,64_cot.npy,37,128,2048
65,direct,G1,False,65_direct.npy,37,32,2048
65,cot,G4,True,65_cot.npy,37,53,2048
66,direct,G1,False,66_direct.npy,37,32,2048
66,cot,G3,False,66_cot.npy,37,128,2048
67,direct,G1,False,67_direct.npy,37,32,2048
67,cot,G3,False,67_cot.npy,37,128,2048
68,direct,G1,False,68_direct.npy,37,32,2048
68,cot,G3,False,68_cot.npy,37,128,2048
69,direct,G1,False,69_direct.npy,37,32,2048
69,cot,G4,True,69_cot.npy,37,128,2048
70,direct,G1,False,70_direct.npy,37,32,2048
70,cot,G4,True,70_cot.npy,37,128,2048
71,direct,G1,False,71_direct.npy,37,31,2048
71,cot,G3,False,71_cot.npy,37,128,2048
72,direct,G1,False,72_direct.npy,37,32,2048
72,cot,G3,False,72_cot.npy,37,128,2048
73,direct,G1,False,73_direct.npy,37,32,2048
73,cot,G4,True,73_cot.npy,37,69,2048
74,direct,G1,False,74_direct.npy,37,32,2048
74,cot,G3,False,74_cot.npy,37,128,2048
75,direct,G1,False,75_direct.npy,37,32,2048
75,cot,G3,False,75_cot.npy,37,128,2048
76,direct,G1,False,76_direct.npy,37,32,2048
76,cot,G3,False,76_cot.npy,37,128,2048
77,direct,G1,False,77_direct.npy,37,32,2048
77,cot,G3,False,77_cot.npy,37,128,2048
78,direct,G1,False,78_direct.npy,37,32,2048
78,cot,G3,False,78_cot.npy,37,128,2048
79,direct,G1,False,79_direct.npy,37,32,2048
79,cot,G3,False,79_cot.npy,37,128,2048
80,direct,G1,False,80_direct.npy,37,32,2048
80,cot,G3,False,80_cot.npy,37,128,2048
81,direct,G1,False,81_direct.npy,37,32,2048
81,cot,G3,False,81_cot.npy,37,128,2048
82,direct,G1,False,82_direct.npy,37,32,2048
82,cot,G3,False,82_cot.npy,37,128,2048
83,direct,G1,False,83_direct.npy,37,32,2048
83,cot,G3,False,83_cot.npy,37,128,2048
84,direct,G1,False,84_direct.npy,37,32,2048
84,cot,G3,False,84_cot.npy,37,128,2048
85,direct,G1,False,85_direct.npy,37,32,2048
85,cot,G3,False,85_cot.npy,37,128,2048
86,direct,G1,False,86_direct.npy,37,31,2048
86,cot,G4,True,86_cot.npy,37,128,2048
87,direct,G1,False,87_direct.npy,37,32,2048
87,cot,G3,False,87_cot.npy,37,128,2048
88,direct,G1,False,88_direct.npy,37,32,2048
88,cot,G4,True,88_cot.npy,37,82,2048
89,direct,G1,False,89_direct.npy,37,32,2048
89,cot,G3,False,89_cot.npy,37,128,2048
90,direct,G1,False,90_direct.npy,37,32,2048
90,cot,G4,True,90_cot.npy,37,67,2048
91,direct,G1,False,91_direct.npy,37,32,2048
91,cot,G3,False,91_cot.npy,37,128,2048
92,direct,G1,False,92_direct.npy,37,32,2048
