speed,dir_consistency,stabilization,turning_angle,dir_autocorr,tortuosity,effective_dim,cos_slope,dist_slope,early_late_ratio,radius_of_gyration,gyration_anisotropy,drift_to_spread,dir_autocorr_lag2,dir_autocorr_lag4,dir_autocorr_lag8,vel_autocorr_lag1,vel_autocorr_lag2,vel_autocorr_lag4,msd_exponent,cos_to_running_mean,cos_to_late_window,time_to_commit,recurrence_rate,determinism,laminarity,trapping_time,diagonal_entropy,psd_slope,spectral_entropy,layer,group,problem_id,condition,correct,interlayer_alignment_mean,depth_accel_speed,depth_accel_tortuosity
0.4071943759918213,0.4274575412273407,-0.12157317996025085,1.8917605876922607,-0.3150109052658081,0.48241862654685974,1.7989423274993896,0.17178702354431152,-0.12978243827819824,1.6962389945983887,0.29079705476760864,0.7915089812539436,2.0265488624572754,,,,-0.04333437606692314,,,,0.8933703303337097,,,0.0,,,,,,,0,G1,0,direct,False,,,
4.768208026885986,0.3894805312156677,-0.746002197265625,1.8996080160140991,-0.3206142485141754,0.38622036576271057,1.8297550678253174,0.22841931134462357,-0.7910177707672119,1.1536942720413208,3.1842377185821533,0.9391449315520315,1.7350267171859741,,,,-7.821768283843994,,,,0.8698022365570068,,,0.0,,,,,,,1,G1,0,direct,False,,,
6.447349548339844,0.41028788685798645,-0.7316198348999023,1.9280296564102173,-0.34946751594543457,0.4098691940307617,1.8813130855560303,0.17540979385375977,-1.148512363433838,1.235299825668335,4.321355819702148,0.9482630489384536,1.8345422744750977,,,,-14.872756958007812,,,,0.8625701665878296,,,0.0,,,,,,,2,G1,0,direct,False,,,
9.170737266540527,0.3978201150894165,0.6987862586975098,1.9328453540802002,-0.3540354371070862,0.39939144253730774,1.9382299184799194,0.1316475048661232,-0.5310764312744141,1.0717369318008423,6.074169158935547,0.9657351635338016,1.808995008468628,,,,-29.765167236328125,,,,0.8392758369445801,,,0.0,,,,,,,3,G1,0,direct,False,,,
9.23088550567627,0.41842105984687805,0.1778407096862793,1.893913984298706,-0.3174448609352112,0.4170273244380951,1.9523704051971436,0.17854075133800507,-1.1210298538208008,1.1500115394592285,6.246954441070557,0.9504331198600309,1.8486759662628174,,,,-27.377662658691406,,,,0.8609316349029541,,,0.0,,,,,,,4,G1,0,direct,False,,,
8.872139930725098,0.4584929943084717,-0.39135599136352534,1.8249287605285645,-0.251248300075531,0.4567621946334839,1.9431630373001099,0.19746191799640656,-1.9204421043395996,1.2599155902862549,6.248344898223877,0.9083944656018993,1.945695161819458,,,,-20.252971649169922,,,,0.8691224455833435,,,0.0,,,,,,,5,G1,0,direct,False,,,
9.379172325134277,0.45748385787010193,-1.1271088123321533,1.8544411659240723,-0.27947258949279785,0.4542096257209778,1.840887427330017,0.20273631811141965,-2.4340779781341553,1.3316253423690796,6.590120315551758,0.897683545022426,1.9393168687820435,,,,-25.981353759765625,,,,0.8877485394477844,,,0.0,,,,,,,6,G1,0,direct,False,,,
9.626627922058105,0.4534195363521576,-1.6751253604888916,1.8402678966522217,-0.2655571401119232,0.4522544741630554,1.804275393486023,0.2068909853696823,-2.732619047164917,1.363898754119873,6.7994303703308105,0.8856407853264248,1.9209046363830566,,,,-26.63083839416504,,,,0.901538610458374,,,0.0,,,,,,,7,G1,0,direct,False,,,
10.275650024414062,0.4599043130874634,-1.9588351249694824,1.793182134628296,-0.2188797891139984,0.4573523700237274,1.7821546792984009,0.1990532428026199,-3.0093402862548824,1.3508871793746948,7.328383445739746,0.8777231026920107,1.9238593578338623,,,,-26.147380828857422,,,,0.9027754068374634,,,0.0,,,,,,,8,G1,0,direct,False,,,
10.83469009399414,0.46862590312957764,-1.6926708221435545,1.7824599742889404,-0.20916847884655,0.46697109937667847,1.8398094177246094,0.2028822749853134,-3.168456077575683,1.3523691892623901,7.786952972412109,0.8740123128837154,1.9492169618606567,,,,-26.965051651000977,,,,0.8980768322944641,,,0.0,,,,,,,9,G1,0,direct,False,,,
11.694046020507812,0.44995826482772827,-1.8656640052795408,1.8116464614868164,-0.2371482104063034,0.44733911752700806,1.8251311779022217,0.18206793069839478,-3.0928726196289062,1.3052257299423218,8.259159088134766,0.8917427873402702,1.9001466035842896,,,,-35.67094421386719,,,,0.8970459699630737,,,0.0,,,,,,,10,G1,0,direct,False,,,
12.011676788330078,0.4513639211654663,-1.5353345870971677,1.8122272491455078,-0.23856230080127716,0.45044535398483276,1.8852739334106445,0.1785932034254074,-3.0426926612854,1.3017778396606445,8.493287086486816,0.8953440915962944,1.9111342430114746,,,,-36.570369720458984,,,,0.899075984954834,,,0.0,,,,,,,11,G1,0,direct,False,,,
12.149327278137207,0.4445100426673889,-1.718137264251709,1.8376750946044922,-0.2615966200828552,0.4393583834171295,1.8170223236083984,0.17694851756095886,-2.9356327056884766,1.267383337020874,8.471336364746094,0.90679753906793,1.8903424739837646,,,,-42.15974807739258,,,,0.8987222909927368,,,0.0,,,,,,,12,G1,0,direct,False,,,
