problem_id,condition,group,correct,filename,n_layers,n_tokens,hidden_dim
57,cot,G4,True,57_cot.npy,25,73,896
58,direct,G2,True,58_direct.npy,25,27,896
58,cot,G3,False,58_cot.npy,25,128,896
59,direct,G2,True,59_direct.npy,25,4,896
59,cot,G4,True,59_cot.npy,25,65,896
60,direct,G2,True,60_direct.npy,25,27,896
60,cot,G4,True,60_cot.npy,25,71,896
61,direct,G1,False,61_direct.npy,25,4,896
61,cot,G4,True,61_cot.npy,25,128,896
62,direct,G1,False,62_direct.npy,25,4,896
62,cot,G4,True,62_cot.npy,25,67,896
63,direct,G1,False,63_direct.npy,25,4,896
63,cot,G4,True,63_cot.npy,25,65,896
64,direct,G2,True,64_direct.npy,25,26,896
64,cot,G4,True,64_cot.npy,25,78,896
65,direct,G1,False,65_direct.npy,25,4,896
65,cot,G4,True,65_cot.npy,25,67,896
66,direct,G1,False,66_direct.npy,25,4,896
66,cot,G4,True,66_cot.npy,25,67,896
67,direct,G1,False,67_direct.npy,25,4,896
67,cot,G3,False,67_cot.npy,25,67,896
68,direct,G1,False,68_direct.npy,25,32,896
68,cot,G3,False,68_cot.npy,25,76,896
69,direct,G1,False,69_direct.npy,25,4,896
69,cot,G3,False,69_cot.npy,25,91,896
70,direct,G1,False,70_direct.npy,25,4,896
70,cot,G4,True,70_cot.npy,25,69,896
71,direct,G1,False,71_direct.npy,25,27,896
71,cot,G4,True,71_cot.npy,25,71,896
72,direct,G1,False,72_direct.npy,25,4,896
72,cot,G4,True,72_cot.npy,25,128,896
73,direct,G1,False,73_direct.npy,25,3,896
73,cot,G3,False,73_cot.npy,25,128,896
74,direct,G2,True,74_direct.npy,25,13,896
74,cot,G4,True,74_cot.npy,25,67,896
75,direct,G2,True,75_direct.npy,25,22,896
75,cot,G3,False,75_cot.npy,25,87,896
76,direct,G1,False,76_direct.npy,25,5,896
76,cot,G4,True,76_cot.npy,25,128,896
77,direct,G1,False,77_direct.npy,25,4,896
77,cot,G4,True,77_cot.npy,25,67,896
78,direct,G2,True,78_direct.npy,25,22,896
78,cot,G4,True,78_cot.npy,25,58,896
79,direct,G1,False,79_direct.npy,25,4,896
79,cot,G4,True,79_cot.npy,25,65,896
80,direct,G1,False,80_direct.npy,25,4,896
80,cot,G4,True,80_cot.npy,25,67,896
81,direct,G1,False,81_direct.npy,25,4,896
81,cot,G4,True,81_cot.npy,25,63,896
82,direct,G1,False,82_direct.npy,25,4,896
82,cot,G4,True,82_cot.npy,25,63,896
83,direct,G1,False,83_direct.npy,25,5,896
83,cot,G4,True,83_cot.npy,25,67,896
84,direct,G1,False,84_direct.npy,25,4,896
84,cot,G4,True,84_cot.npy,25,76,896
85,direct,G1,False,85_direct.npy,25,3,896
85,cot,G3,False,85_cot.npy,25,62,896
86,direct,G1,False,86_direct.npy,25,4,896
86,cot,G4,True,86_cot.npy,25,71,896
87,direct,G1,False,87_direct.npy,25,4,896
87,cot,G4,True,87_cot.npy,25,67,896
88,direct,G1,False,88_direct.npy,25,4,896
88,cot,G4,True,88_cot.npy,25,128,896
89,direct,G1,False,89_direct.npy,25,4,896
89,cot,G4,True,89_cot.npy,25,67,896
90,direct,G1,False,90_direct.npy,25,4,896
90,cot,G3,False,90_cot.npy,25,108,896
91,direct,G1,False,91_direct.npy,25,4,896
91,cot,G4,True,91_cot.npy,25,68,896
92,direct,G1,False,92_direct.npy,25,28,896
92,cot,G3,False,92_cot.npy,25,128,896
93,direct,G1,False,93_direct.npy,25,4,896
93,cot,G4,True,93_cot.npy,25,75,896
94,direct,G1,False,94_direct.npy,25,4,896
94,cot,G3,False,94_cot.npy,25,63,896
95,direct,G1,False,95_direct.npy,25,4,896
95,cot,G3,False,95_cot.npy,25,65,896
96,direct,G1,False,96_direct.npy,25,4,896
