model,layer,metric,g4_mean,g1_mean,t_stat,p_val,cohen_d,n_g4,n_g1
pythia410m,0,clean_phase_count,4.857142857142857,1.0,5.228527517380012,0.0019599724635419634,3.0186917696247155,7,393
pythia410m,0,full_speed,0.9279641585714288,0.9788903154961833,-18.0062339988836,1.227824221023948e-41,-1.3956129342174712,7,393
pythia410m,0,full_turn_angle,2.1446628911154613,1.2614419599829132,16.510585956708503,9.776599874339967e-47,1.2005863178140204,7,393
pythia410m,0,full_tortuosity,0.06768710671428572,0.5406167426310433,-23.417929290798398,1.3167580744297945e-76,-1.69591666035571,7,393
pythia410m,0,full_dir_consistency,0.06769789385714285,0.5441681105089059,-23.940556694642687,8.295314765712065e-79,-1.7341725082905823,7,393
pythia410m,0,full_stabilisation,-0.0175433449772154,0.015454708438047336,-11.246061260258081,3.5669984747290308e-06,-2.098593952996474,7,393
pythia410m,0,full_radius_of_gyration,0.6555303114285715,0.5652696082188294,27.083399040557197,4.756235508229589e-90,1.980870101019206,7,393
pythia410m,0,full_effective_dimension,7.707347869873047,2.2367657468519138,12.66334441242175,9.761374743260068e-06,4.411024267036207,7,393
pythia410m,0,full_cos_slope_to_final,0.0005940839487012286,-0.024501116743684378,14.717937761529994,5.4925953553545894e-33,1.5311150292384867,7,186
pythia410m,0,full_time_to_commit,9.857142857142858,2.150537634408602,10.424460528582728,4.32346762692634e-05,5.670410911811481,7,186
pythia410m,0,full_commitment_sharpness,0.05954540627343311,0.01681311044000808,19.794239745031557,1.0952398228304463e-47,2.061779489540883,7,186
pythia410m,0,full_phase_count,4.571428571428571,1.0279898218829517,11.90994404913153,2.0930753750751977e-05,6.679152125067349,7,393
pythia410m,0,clean_interlayer_alignment,0.8253816110747201,0.43939316348568475,18.436785790041295,4.079975271669605e-55,1.317138468383981,7,393
pythia410m,0,full_interlayer_alignment,0.8230413657142857,0.8336053944783716,-20.384764768375202,1.5944373301286055e-21,-1.8683640628539282,7,393
pythia410m,0,clean_speed,0.9899407795497349,0.9831369009513694,1.265317271561404,0.21020185824722082,0.14526407523893178,7,208
pythia410m,0,clean_turn_angle,2.1446628911154613,0.4933395901551613,26.38073113629912,4.877406552465517e-69,2.626494468718364,7,208
pythia410m,0,clean_tortuosity,0.04822635171668865,0.8827414406606784,-55.9673863372431,2.381754360546769e-129,-5.582028927599105,7,208
pythia410m,0,clean_dir_consistency,0.05451092443295883,0.8777568344599925,-52.67778931590007,5.4635960279882095e-123,-5.3032559284310485,7,208
pythia410m,0,clean_stabilisation,0.0014839242053815143,-0.00012542091228149712,1.1270476846626059,0.30213752593455834,0.5800484322336089,7,208
pythia410m,0,clean_radius_of_gyration,0.654220964227404,0.5104227918558396,57.94683001699006,1.3314042311979663e-103,6.120193160953528,7,208
pythia410m,0,clean_effective_dimension,7.078843252999442,1.0,14.45927415302772,6.857363525841392e-06,8.348065824537152,7,208
pythia410m,0,full_msd_exponent,-0.0156441514620207,-0.048536123310245684,1.0443006377029413,0.32089376574893885,0.46710312965986517,7,11
pythia410m,0,full_fractal_dimension,0.0,0.7675818710686446,-1.0000000000000002,0.34089313230205975,-0.447213595499958,7,11
pythia410m,1,clean_phase_count,3.142857142857143,1.005089058524173,5.290286503384368,0.0018450978306595912,3.0388840933425794,7,393
pythia410m,1,full_speed,12.069546642857144,11.700774259160308,5.480046344742208,7.824946194870336e-05,0.652407313252868,7,393
pythia410m,1,full_turn_angle,2.0800115040370395,1.2676355574877207,15.272297562389934,9.022474446960209e-42,1.100024560069263,7,393
pythia410m,1,full_tortuosity,0.07374632,0.5420584657379135,-23.13325177502062,1.795449726078982e-75,-1.6735008038090464,7,393
pythia410m,1,full_dir_consistency,0.07685120042857142,0.5470709181552162,-23.411499929457207,5.608583817729459e-76,-1.7043915391035684,7,393
pythia410m,1,full_stabilisation,0.01140897479703293,0.19351759389169862,-5.374389714969593,0.0004972900647178738,-0.8955925736343477,7,393
pythia410m,1,full_radius_of_gyration,8.619831,6.721932093638676,35.6682637122858,1.1439025004822027e-21,3.598898223077073,7,393
