model,layer,group_a,group_b,metric,cohen_d,p_val,mean_a,mean_b
pythia410m,0,G1,G2,clean_phase_count,0.0,,1.0,1.0
pythia410m,0,G1,G2,full_speed,-0.42427176907728553,6.298948064020331e-09,0.9788903154961833,0.9943507
pythia410m,0,G1,G2,full_turn_angle,1.7151974828250773,5.1943324280067134e-79,1.2614419599829132,0.0
pythia410m,0,G1,G2,full_tortuosity,-1.6476974521077221,5.311513567999212e-75,0.5406167426310433,1.0
pythia410m,0,G1,G2,full_dir_consistency,-1.6594233803621086,1.0633709132760675e-75,0.5441681105089059,1.0
pythia410m,0,G1,G2,full_stabilisation,1.030648609724203,3.725325785996641e-38,0.015454708438047336,0.0
pythia410m,0,G1,G2,full_radius_of_gyration,1.494966815411088,7.637165494351442e-66,0.5652696082188294,0.49717534
pythia410m,0,G1,G2,full_effective_dimension,1.2408405179355906,1.5458810342289458e-50,2.2367657468519138,1.0
pythia410m,0,G1,G2,full_phase_count,0.22026447615240086,0.0021891572432143317,1.0279898218829517,1.0
pythia410m,0,G1,G2,clean_interlayer_alignment,-1.3268825081234648,1.0568813711555108e-55,0.43939316348568475,0.8282371844564166
pythia410m,0,G1,G2,full_interlayer_alignment,0.9469363469598047,1.9854853617199094e-09,0.8336053944783716,0.82823718
pythia410m,0,G1,G2,clean_speed,-0.24072799736316322,0.01515515381370821,0.9831369009513694,0.9943506717681884
pythia410m,0,G1,G2,clean_turn_angle,0.7849798766343377,9.520921058080843e-14,0.4933395901551613,0.0
pythia410m,0,G1,G2,clean_tortuosity,-0.784682883018224,9.700857510300931e-14,0.8827414406606784,1.0
pythia410m,0,G1,G2,clean_dir_consistency,-0.7880528857305107,7.842513569495399e-14,0.8777568344599925,1.0
pythia410m,0,G1,G2,clean_stabilisation,-0.09829463743659811,0.31847803566158933,-0.00012542091228149712,0.0
pythia410m,0,G1,G2,clean_radius_of_gyration,0.5651299627694478,3.1810556348611024e-08,0.5104227918558396,0.4971753358840942
pythia410m,0,G1,G2,clean_effective_dimension,0.0,,1.0,1.0
pythia410m,0,G1,G3,clean_phase_count,-1.6171505656216403,1.892503392935442e-72,1.0,6.748071979434448
pythia410m,0,G1,G3,full_speed,0.8057603715050682,2.4323083956839314e-26,0.9788903154961833,0.9478400053727507
pythia410m,0,G1,G3,full_turn_angle,-1.1708975391134202,2.2714033568674237e-46,1.2614419599829132,2.1226580510715594
pythia410m,0,G1,G3,full_tortuosity,1.761446142444488,7.9710853094625e-82,0.5406167426310433,0.04915268069768638
pythia410m,0,G1,G3,full_dir_consistency,1.7851268753115976,3.515428776126425e-83,0.5441681105089059,0.05360439359511568
pythia410m,0,G1,G3,full_stabilisation,1.6707130250073017,8.303494595089292e-80,0.015454708438047336,-0.010527810337105287
pythia410m,0,G1,G3,full_radius_of_gyration,-2.0474391741280966,3.188459882830837e-100,0.5652696082188294,0.6597482876092544
pythia410m,0,G1,G3,full_effective_dimension,-3.9729527063115535,2.75355551076706e-261,2.2367657468519138,7.12250750598074
pythia410m,0,G1,G3,full_cos_slope_to_final,-1.542728408213717,2.5026598070553373e-33,-0.024501116743684378,0.0007892664137606039
pythia410m,0,G1,G3,full_time_to_commit,-3.0025149441927192,1.8075465760171583e-148,2.150537634408602,15.105398457583547
pythia410m,0,G1,G3,full_commitment_sharpness,-1.650462889762373,2.622567413348121e-39,0.01681311044000808,0.053195021912493826
pythia410m,0,G1,G3,full_phase_count,-1.443115643471066,3.8147488407974613e-62,1.0279898218829517,5.884318766066838
pythia410m,0,G1,G3,clean_interlayer_alignment,-1.3197238459112752,2.8107160969799595e-55,0.43939316348568475,0.8261524323939051
pythia410m,0,G1,G3,full_interlayer_alignment,1.538573733949538,9.460688811987885e-74,0.8336053944783716,0.8242892154498715
pythia410m,0,G1,G3,clean_speed,-0.22435083997176541,0.021133336975410637,0.9831369009513694,0.9939874301839304
pythia410m,0,G1,G3,clean_turn_angle,-2.5919959470399254,4.057938561612166e-68,0.4933395901551613,2.1225419369332283
pythia410m,0,G1,G3,clean_tortuosity,5.668593979085155,8.504202924696774e-130,0.8827414406606784,0.034514051602296196
pythia410m,0,G1,G3,clean_dir_consistency,5.369945239163433,4.585544124620654e-125,0.8777568344599925,0.04423838863173223
pythia410m,0,G1,G3,clean_stabilisation,-0.7819640322443204,7.712787985260208e-19,-0.00012542091228149712,0.0013782337661774498
pythia410m,0,G1,G3,clean_radius_of_gyration,-5.9956457958987475,4.5892976352042633e-147,0.5104227918558396,0.6585888448901532
pythia410m,0,G1,G3,clean_effective_dimension,-8.712570517184902,0.0,1.0,6.661115507846627
pythia410m,0,G1,G3,full_msd_exponent,-0.056328336694097175,0.89463011329048,-0.048536123310245684,-0.044250542394823636
pythia410m,0,G1,G3,full_fractal_dimension,-0.06275282742496108,0.386252993772143,0.7675818710686446,6.102764692814688
pythia410m,0,G1,G4,clean_phase_count,-3.0186917696247155,0.0019599724635419634,1.0,4.857142857142857
pythia410m,0,G1,G4,full_speed,1.3956129342174712,1.227824221023948e-41,0.9788903154961833,0.9279641585714288
pythia410m,0,G1,G4,full_turn_angle,-1.2005863178140204,9.776599874339967e-47,1.2614419599829132,2.1446628911154613
pythia410m,0,G1,G4,full_tortuosity,1.69591666035571,1.3167580744297945e-76,0.5406167426310433,0.06768710671428572
pythia410m,0,G1,G4,full_dir_consistency,1.7341725082905823,8.295314765712065e-79,0.5441681105089059,0.06769789385714285
pythia410m,0,G1,G4,full_stabilisation,2.098593952996474,3.5669984747290308e-06,0.015454708438047336,-0.0175433449772154
pythia410m,0,G1,G4,full_radius_of_gyration,-1.980870101019206,4.756235508229589e-90,0.5652696082188294,0.6555303114285715
pythia410m,0,G1,G4,full_effective_dimension,-4.411024267036207,9.761374743260068e-06,2.2367657468519138,7.707347869873047
pythia410m,0,G1,G4,full_cos_slope_to_final,-1.5311150292384867,5.4925953553545894e-33,-0.024501116743684378,0.0005940839487012286
pythia410m,0,G1,G4,full_time_to_commit,-5.670410911811481,4.32346762692634e-05,2.150537634408602,9.857142857142858
pythia410m,0,G1,G4,full_commitment_sharpness,-2.061779489540883,1.0952398228304463e-47,0.01681311044000808,0.05954540627343311
pythia410m,0,G1,G4,full_phase_count,-6.679152125067349,2.0930753750751977e-05,1.0279898218829517,4.571428571428571
pythia410m,0,G1,G4,clean_interlayer_alignment,-1.317138468383981,4.079975271669605e-55,0.43939316348568475,0.8253816110747201
pythia410m,0,G1,G4,full_interlayer_alignment,1.8683640628539282,1.5944373301286055e-21,0.8336053944783716,0.8230413657142857
pythia410m,0,G1,G4,clean_speed,-0.14526407523893178,0.21020185824722082,0.9831369009513694,0.9899407795497349
pythia410m,0,G1,G4,clean_turn_angle,-2.626494468718364,4.877406552465517e-69,0.4933395901551613,2.1446628911154613
pythia410m,0,G1,G4,clean_tortuosity,5.582028927599105,2.381754360546769e-129,0.8827414406606784,0.04822635171668865
pythia410m,0,G1,G4,clean_dir_consistency,5.3032559284310485,5.4635960279882095e-123,0.8777568344599925,0.05451092443295883
pythia410m,0,G1,G4,clean_stabilisation,-0.5800484322336089,0.30213752593455834,-0.00012542091228149712,0.0014839242053815143
pythia410m,0,G1,G4,clean_radius_of_gyration,-6.120193160953528,1.3314042311979663e-103,0.5104227918558396,0.654220964227404
pythia410m,0,G1,G4,clean_effective_dimension,-8.348065824537152,6.857363525841392e-06,1.0,7.078843252999442
pythia410m,0,G1,G4,full_msd_exponent,-0.46710312965986517,0.32089376574893885,-0.048536123310245684,-0.0156441514620207
pythia410m,0,G1,G4,full_fractal_dimension,0.447213595499958,0.34089313230205975,0.7675818710686446,0.0
pythia410m,0,G2,G3,clean_phase_count,-1.6171505656216403,1.892503392935442e-72,1.0,6.748071979434448
pythia410m,0,G2,G3,full_speed,3.710561954021406,4.637126167569855e-176,0.9943507,0.9478400053727507
pythia410m,0,G2,G3,full_turn_angle,-212.37909697618642,0.0,0.0,2.1226580510715594
