speed,dir_consistency,stabilization,turning_angle,dir_autocorr,tortuosity,effective_dim,cos_slope,dist_slope,early_late_ratio,group,problem_id,condition,correct,cluster
14.791668891906738,0.05348208546638489,0.030815698254492978,1.9361300468444824,-0.3534192740917206,0.04188839718699455,13.825587272644043,0.0027778137955934766,-0.03628538308605071,0.9979109764099121,G3,5,cot,False,2
14.757620811462402,0.05290612578392029,0.03385728405367942,1.9328804016113281,-0.35029226541519165,0.04205799847841263,13.852805137634277,0.0029728983679125384,-0.038247586834815245,1.0006366968154907,G3,9,cot,False,2
14.548213005065918,0.06274149566888809,-0.0176060103601025,1.9189178943634033,-0.33723214268684387,0.045974940061569214,14.082125663757324,0.002559731245761918,-0.039609096511717755,0.9482849836349487,G3,17,cot,False,1
14.156615257263184,0.06860693544149399,-0.04202172525467412,1.933949589729309,-0.3486901819705963,0.04152253642678261,14.84552001953125,0.0018579866977468614,-0.03899331477380567,0.9352155923843384,G3,23,cot,False,1
14.7540922164917,0.05532119795680046,0.03925461307648688,1.9275305271148682,-0.345060795545578,0.04216902703046799,13.427643775939941,0.0026571180731538796,-0.03185483332603208,0.9958166480064392,G3,24,cot,False,2
14.232542991638184,0.06535361707210541,-0.011708957918228641,1.9100617170333862,-0.32906004786491394,0.046427611261606216,13.811981201171875,0.0023365952194698385,-0.04108502749473818,0.953740656375885,G3,26,cot,False,1
14.655133247375488,0.059205882251262665,-0.001629686740136917,1.94444739818573,-0.36094507575035095,0.04017170891165733,12.978331565856934,0.004024604431563808,-0.07310767327585528,1.0450180768966675,G3,27,cot,False,2
14.622407913208008,0.06421580165624619,-0.013224730568547404,1.920176386833191,-0.3383905291557312,0.0466117188334465,14.26447868347168,0.0008450153854585461,-0.012689720430681789,0.9256507158279419,G3,29,cot,False,1
14.57107162475586,0.06494323164224625,-0.002585306475239416,1.912500023841858,-0.33134332299232483,0.04653121158480644,14.270816802978516,0.0008225896606041544,-0.010778160249033292,0.9223825335502625,G3,39,cot,False,1
14.137260437011719,0.05537101998925209,-0.008383142179058447,1.8996983766555786,-0.3184921145439148,0.04183875769376755,12.82246208190918,0.0035446510920601514,-0.056380026571212286,1.0455607175827026,G3,40,cot,False,0
