speed,dir_consistency,stabilization,turning_angle,dir_autocorr,tortuosity,effective_dim,cos_slope,dist_slope,early_late_ratio,group,problem_id,condition,correct
14.19002628326416,0.06033354252576828,-0.029584493175629657,1.9168105125427246,-0.33484283089637756,0.045238085091114044,12.084935188293457,0.0040098323216361375,-0.055251583360856574,1.020094394683838,G4,0,cot,True
12.25698184967041,0.32896023988723755,-0.41580629348754883,1.9061260223388672,-0.32882705330848694,0.3215010464191437,2.739492893218994,0.10456980764865875,-1.7985782623291016,1.3233706951141357,G1,1,direct,False
14.395513534545898,0.06447579711675644,-0.027470335268205203,1.9177449941635132,-0.33619481325149536,0.04500172659754753,13.480887413024902,0.0020421644853007414,-0.036042590679660924,0.9507927298545837,G4,1,cot,True
13.960945129394531,0.09083233028650284,-0.006169370982957923,1.8809118270874023,-0.30306053161621094,0.05251079425215721,7.750524997711182,0.0059935473359149435,-0.09359192309172257,1.0844589471817017,G2,2,direct,True
14.326786994934082,0.05621477589011192,-0.011429488658905026,1.9107081890106201,-0.3287215828895569,0.04186307266354561,12.357873916625977,0.003779451092404703,-0.05931676780023885,1.046365737915039,G4,2,cot,True
14.543238639831543,0.059264689683914185,0.0024837009368404257,1.9415141344070435,-0.35844525694847107,0.040443018078804016,13.272802352905273,0.0037272897699186873,-0.06445702622013708,1.0384552478790283,G4,3,cot,True
13.431727409362793,0.07199564576148987,0.0003799673227163448,1.8708680868148804,-0.29190993309020996,0.048301324248313904,8.801290512084961,0.0037667131882447463,-0.06985995659461389,1.082930326461792,G1,4,direct,False
14.485974311828613,0.06578521430492401,-0.016966272554089938,1.9122897386550903,-0.3308841288089752,0.04595467820763588,13.797128677368164,0.0026689166924165147,-0.041180962131869406,0.9452720284461975,G4,4,cot,True
14.791668891906738,0.05348208546638489,0.030815698254492978,1.9361300468444824,-0.3534192740917206,0.04188839718699455,13.825587272644043,0.0027778137955934766,-0.03628538308605071,0.9979109764099121,G3,5,cot,False
14.09261417388916,0.057365547865629196,-0.017268993393067398,1.9171398878097534,-0.3353394567966461,0.045824747532606125,13.089938163757324,0.004809369032661762,-0.06529479680522793,1.0393199920654297,G4,6,cot,True
