comparison,group_a,group_b,layer,metric,mean_a,mean_b,std_a,std_b,mean_diff,p_value,cohens_d,significant,n_a,n_b
CoT Success vs Direct Fail,G4,G1,-1,interlayer_alignment_mean,0.5610750873569443,0.5566458756273444,0.006749636148446143,0.011050482693180303,0.00442921172959998,0.0,0.5229239183472004,True,253,132
CoT Success vs Direct Fail,G4,G1,-1,depth_accel_speed,21.666209250288052,25.557356967348046,1.863700129200956,2.1204147311628163,-3.8911477170599937,0.0,-1.990049327412579,True,253,132
CoT Success vs Direct Fail,G4,G1,-1,depth_accel_tortuosity,-0.012647319646191407,-0.009414204559994418,0.0013261124938976653,0.0013747443120722509,-0.0032331150861969887,0.0,-2.4074822201829136,True,253,132
CoT Success vs Direct Fail,G4,G1,0,speed,19.917013590514895,20.634066032640863,0.5471424040596554,0.8215604504972317,-0.7170524421259685,0.0,-1.0962610037972171,True,253,132
CoT Success vs Direct Fail,G4,G1,0,dir_consistency,0.029227104038000058,0.04203877053364656,0.0055060007376375375,0.0034551812860969798,-0.012811666495646502,0.0,-2.6135279375537825,True,253,132
CoT Success vs Direct Fail,G4,G1,0,stabilization,-0.045207961791899454,-0.0898648671259628,0.02355275744570658,0.05566044433689557,0.04465690533406334,0.0,1.183134810502748,True,253,132
CoT Success vs Direct Fail,G4,G1,0,turning_angle,2.0090499404861992,2.012794318524274,0.015853412381753335,0.014137329083451012,-0.0037443780380748137,0.0229,-0.24492044545083327,False,253,132
CoT Success vs Direct Fail,G4,G1,0,dir_autocorr,-0.42176700121329236,-0.4254172638510213,0.013907914286020949,0.012705842752650137,0.0036502626377289404,0.0105,0.2702136174999925,False,253,132
CoT Success vs Direct Fail,G4,G1,0,tortuosity,0.020586303843869946,0.044516760404362775,0.00381742166574561,0.0030603275392700356,-0.02393045656049283,0.0,-6.690938654740275,True,253,132
CoT Success vs Direct Fail,G4,G1,0,effective_dim,16.067885877586637,14.751060359405749,5.425735496793781,2.6915577899231526,1.316825518180888,0.0078,0.2817268947965712,True,253,132
CoT Success vs Direct Fail,G4,G1,0,cos_slope,0.0026662873731324484,0.0005450051060749146,0.0011409350457648511,0.001365089754265187,0.0021212822670575336,0.0,1.7355711748994425,True,253,132
CoT Success vs Direct Fail,G4,G1,0,dist_slope,-0.06595734347742416,-0.054027804532038225,0.02586620733249879,0.03804225142019297,-0.011929538945385933,0.0001,-0.3900923384232492,True,253,132
CoT Success vs Direct Fail,G4,G1,0,early_late_ratio,1.0893344839099839,1.028157409393426,0.04207919656115924,0.034292562277456355,0.06117707451655785,0.0,1.545320684834064,True,253,132
CoT Success vs Direct Fail,G4,G1,0,radius_of_gyration,14.71744933901097,15.294972896575928,0.42954774662836837,0.7304995115639269,-0.5775235575649571,0.0,-1.0475826437457423,True,253,132
CoT Success vs Direct Fail,G4,G1,0,gyration_anisotropy,0.7745092512238807,0.8898361022734961,0.023912520724319153,0.04730442109126847,-0.11532685104961538,0.0,-3.4132813118564913,True,253,132
CoT Success vs Direct Fail,G4,G1,0,drift_to_spread,1.7839185682681238,1.862690522815242,0.09952516340670446,0.13186256362371254,-0.07877195454711816,0.0,-0.7055592852550241,True,253,132
CoT Success vs Direct Fail,G4,G1,0,dir_autocorr_lag2,-0.0888874358221476,-0.07122450750885582,0.018066880641379988,0.01456966903729659,-0.017662928313291776,0.0,-1.0419325160702644,True,253,132
CoT Success vs Direct Fail,G4,G1,0,dir_autocorr_lag4,0.13719573995584378,0.058902886692191105,0.06434474169148893,0.07451547043867687,0.07829285326365268,0.0,1.1514517423628938,True,253,132
CoT Success vs Direct Fail,G4,G1,0,dir_autocorr_lag8,0.1103367834587052,0.003855981279009555,0.09181181749665605,0.06903069571641311,0.10648080217969565,0.0,1.2569737341637508,True,253,132
CoT Success vs Direct Fail,G4,G1,0,vel_autocorr_lag1,-172.7252769017879,-183.58102775342536,14.713997051691257,19.03555003533204,10.855750851637453,0.0,0.665124006299295,True,253,132
CoT Success vs Direct Fail,G4,G1,0,vel_autocorr_lag2,-35.466655938521676,-31.288947452198375,6.792425826491249,4.523022472493169,-4.177708486323301,0.0,-0.6835508570901414,True,253,132
CoT Success vs Direct Fail,G4,G1,0,vel_autocorr_lag4,49.347602579433456,20.578269443728708,22.185549438005406,26.05580215193045,28.76933313570475,0.0,1.2200268117666437,True,253,132
CoT Success vs Direct Fail,G4,G1,0,msd_exponent,-0.004414272404150011,0.04178965585274847,0.013685053283300084,0.03303719099715166,-0.04620392825689848,0.0,-2.073485689653435,True,253,132
CoT Success vs Direct Fail,G4,G1,0,cos_to_running_mean,0.5635769130448579,0.5566830097725897,0.026057069862245336,0.034922491884207485,0.0068939032722682425,0.0335,0.2345517608792214,False,253,132
CoT Success vs Direct Fail,G4,G1,0,cos_to_late_window,0.46283353070025385,0.3996825064673568,0.05089831827307114,0.05168311613420659,0.06315102423289704,0.0,1.2341873434338098,True,253,132
