speed,dir_consistency,stabilization,turning_angle,dir_autocorr,tortuosity,effective_dim,cos_slope,dist_slope,early_late_ratio,radius_of_gyration,gyration_anisotropy,drift_to_spread,dir_autocorr_lag2,dir_autocorr_lag4,dir_autocorr_lag8,vel_autocorr_lag1,vel_autocorr_lag2,vel_autocorr_lag4,msd_exponent,cos_to_running_mean,cos_to_late_window,time_to_commit,layer,group,problem_id,condition,correct,interlayer_alignment_mean
19.049707412719727,0.048139575868844986,-0.02371559989067819,1.984742522239685,-0.4002027213573456,0.04963685944676399,8.521225929260254,-0.0012537036451601216,0.0187949445939833,0.9758473038673401,13.853006362915039,0.7620851939268084,2.115973711013794,-0.12048656493425369,0.2355979084968567,0.07168634235858917,-146.6589813232422,-43.28255844116211,76.552001953125,-0.03175013426810858,0.6338368058204651,0.524834394454956,3.0,0,G2,0,direct,True,
223.7425079345703,0.05927186459302902,-38.07428862202551,1.950790286064148,-0.3688044846057892,0.9105499386787415,1.0006722211837769,0.00034382436124067096,-38.017905825953335,20.10578727722168,1098.9854736328125,0.0006616305596523775,5.746746063232422,-0.13466554880142212,0.2261866331100464,0.08658940345048904,-277.88177490234375,-12.287281036376953,50.74103927612305,0.1206305149894254,0.14404833316802979,0.6040080189704895,3.0,1,G2,0,direct,True,
418.7633972167969,0.07004015892744064,-73.73673789270462,1.9409362077713013,-0.35913321375846863,0.9412325620651245,1.0002723932266235,-0.0006670226733530716,-73.6526473545259,31.286252975463867,2126.071533203125,0.00029352547745647523,5.747109413146973,-0.13797560334205627,0.21671830117702484,0.07898235321044922,-657.7763061523438,222.81239318847656,-128.5292205810547,0.12065007489303256,0.13544920086860657,0.5812539458274841,3.0,2,G2,0,direct,True,
429.0062255859375,0.06728114187717438,-74.92320582174484,1.9171425104141235,-0.33734890818595886,0.9343705773353577,1.000343918800354,-0.0004421040145379874,-74.82413551884312,26.678176879882812,2162.18115234375,0.0003852076483422792,5.747148036956787,-0.14903734624385834,0.20697295665740967,0.08272149413824081,-1012.5535278320312,302.8511962890625,-265.5872497558594,0.1206080843548635,0.12865987420082092,0.5615179538726807,3.0,3,G2,0,direct,True,
437.1424255371094,0.07062336057424545,-75.68540484982152,1.914364218711853,-0.3347133994102478,0.925757884979248,1.0004483461380005,-0.0005098678006400018,-75.5282310370476,23.746660232543945,2182.9052734375,0.0004945069561222271,5.747078895568848,-0.1473512500524521,0.196450337767601,0.07194399833679199,-855.0198364257812,102.47787475585938,-291.8851318359375,0.12057668303360859,0.11333215236663818,0.5325738787651062,3.0,4,G2,0,direct,True,
440.7498474121094,0.07372702658176422,-76.56904347942722,1.9104266166687012,-0.3307947814464569,0.9288333058357239,1.000410556793213,0.0005431062857350031,-76.44411824287906,25.02722930908203,2208.16259765625,0.00045034923485054863,5.747256755828857,-0.15851446986198425,0.19838875532150269,0.09130175411701202,-929.2042846679688,575.0664672851562,-59.803524017333984,0.12065876365269612,0.1076304167509079,0.6203569769859314,3.0,5,G2,0,direct,True,
442.4544677734375,0.07633107900619507,-76.60063487175971,1.8962140083312988,-0.31756940484046936,0.9255452156066895,1.0004538297653198,0.00024134911176177764,-76.44231050399041,24.295272827148438,2208.84814453125,0.0004973461142470079,5.747276306152344,-0.1689874827861786,0.20032021403312683,0.11059775203466415,-687.8043212890625,139.54798889160156,-303.6680908203125,0.12063706130693459,0.10494798421859741,0.638706386089325,3.0,6,G2,0,direct,True,
443.5394592285156,0.07710335403680801,-76.56914522955495,1.8816787004470825,-0.30330726504325867,0.9234680533409119,1.0004833936691284,0.0001873241632335606,-76.45090290500272,23.553804397583008,2209.31103515625,0.000540027471950186,5.747234344482422,-0.1821131408214569,0.20226512849330902,0.11005406826734543,-473.2896423339844,96.5000991821289,-386.5433044433594,0.12068857036136589,0.12900038063526154,0.6546862721443176,3.0,7,G2,0,direct,True,
444.4391784667969,0.07918549329042435,-76.59527693102436,1.8804588317871094,-0.3021458685398102,0.9217384457588196,1.000510334968567,-0.00025080827425324033,-76.46387431083186,23.200693130493164,2209.5556640625,0.0005668147775329133,5.747470855712891,-0.17918339371681213,0.1934933066368103,0.10815619677305222,17.90353775024414,54.22478485107422,-533.038330078125,0.12071327166783544,0.1244720071554184,0.6207929253578186,3.0,8,G2,0,direct,True,
445.1217041015625,0.0787854865193367,-76.61943962574006,1.8823450803756714,-0.30405092239379883,0.9206358194351196,1.0005253553390503,-0.0006560863491388087,-76.48738892616763,22.635120391845703,2210.28271484375,0.0005964807099151798,5.7475199699401855,-0.1732894331216812,0.18447819352149963,0.10279697924852371,4.826853275299072,272.4673767089844,-513.5127563476562,0.12066680082816027,0.11939717829227448,0.605350911617279,3.0,9,G2,0,direct,True,
445.9197082519531,0.08109638094902039,-76.59217006006548,1.877746343612671,-0.2995882034301758,0.9191218018531799,1.0005489587783813,-0.00048014534291841325,-76.48446365633318,22.539770126342773,2210.50537109375,0.0006164462833430001,5.747776031494141,-0.18173708021640778,0.19126713275909424,0.11075661331415176,321.5639953613281,168.6398162841797,-377.3618469238281,0.12073224290798977,0.12692855298519135,0.6048161387443542,3.0,10,G2,0,direct,True,
447.90667724609375,0.07445208728313446,-76.568533247517,1.8758031129837036,-0.2978912591934204,0.9149363040924072,1.0006098747253418,0.000224532898996146,-76.46398579459036,21.100955963134766,2210.444580078125,0.0006902083658643219,5.747255325317383,-0.1849038302898407,0.18676067888736725,0.10036645829677582,-284.4248046875,97.49360656738281,-214.25254821777344,0.12079732563484985,0.1539539396762848,0.6385067105293274,3.0,11,G2,0,direct,True,
449.0584411621094,0.07164706289768219,-76.61260647619923,1.8735549449920654,-0.2960215210914612,0.9123167395591736,1.0006481409072876,0.00044575765007926697,-76.4582467832873,20.561016082763672,2209.919189453125,0.0007331422223148702,5.746901988983154,-0.189369797706604,0.1834244728088379,0.10492000728845596,-999.0399169921875,0.7819072008132935,111.63621520996094,0.12074208966391413,0.1659965068101883,0.6596969962120056,3.0,12,G2,0,direct,True,
