comparison,group1,group2,layer,metric,cohens_d,perm_p,significant,n1,n2
CoT Success vs CoT Failure,G4,G3,2,effective_dim,-0.6160408933994143,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,3,effective_dim,-0.6029465784087927,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,4,effective_dim,-0.5971212128749077,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,5,effective_dim,-0.5664265718177988,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,6,effective_dim,-0.5855088097348436,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,7,effective_dim,-0.6111743447875471,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,8,effective_dim,-0.6377768901264211,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,9,effective_dim,-0.6050191995835693,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,10,effective_dim,-0.5728801111328924,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,11,effective_dim,-0.5949951763235636,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,12,effective_dim,-0.6125306194217846,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,13,effective_dim,-0.5941173649625959,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,14,effective_dim,-0.6026046783538149,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,15,effective_dim,-0.5821498992479673,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,16,effective_dim,-0.5859751102323463,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,17,effective_dim,-0.5882978198721374,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,18,effective_dim,-0.5748421326120117,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,19,effective_dim,-0.5998278683903924,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,20,effective_dim,-0.5762242492403024,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,21,effective_dim,-0.5660984451072698,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,22,effective_dim,-0.5754491425919954,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,23,effective_dim,-0.5547967320132202,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,24,effective_dim,-0.5155221516831346,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,25,effective_dim,-0.49772539383415737,0.001,True,253,47
CoT Success vs CoT Failure,G4,G3,26,effective_dim,-0.4971970040622206,0.001,True,253,47
CoT Success vs CoT Failure,G4,G3,27,effective_dim,-0.23361102705476272,0.133,False,253,47
CoT Success vs CoT Failure,G4,G3,28,effective_dim,-0.5727404245643636,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,0,radius_of_gyration,-1.3820718475831943,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,1,radius_of_gyration,-0.30060413711259837,0.049,True,253,47
CoT Success vs CoT Failure,G4,G3,2,radius_of_gyration,0.4317675817691145,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,3,radius_of_gyration,0.432866249933002,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,4,radius_of_gyration,0.43261086174280916,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,5,radius_of_gyration,0.43223503943209896,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,6,radius_of_gyration,0.43158178312097084,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,7,radius_of_gyration,0.4317885948608255,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,8,radius_of_gyration,0.4311421082272329,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,9,radius_of_gyration,0.43146704726165663,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,10,radius_of_gyration,0.43131820909415,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,11,radius_of_gyration,0.43134207005625885,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,12,radius_of_gyration,0.43169861616473393,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,13,radius_of_gyration,0.431798699982912,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,14,radius_of_gyration,0.43184268537658566,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,15,radius_of_gyration,0.4319246940263363,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,16,radius_of_gyration,0.4317551015587089,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,17,radius_of_gyration,0.43197405503959313,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,18,radius_of_gyration,0.4319876206723993,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,19,radius_of_gyration,0.43214182047018423,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,20,radius_of_gyration,0.43253302369255126,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,21,radius_of_gyration,0.433162650133895,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,22,radius_of_gyration,0.43327244937375753,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,23,radius_of_gyration,0.4342107276603656,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,24,radius_of_gyration,0.4353206661243597,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,25,radius_of_gyration,0.4350521719396629,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,26,radius_of_gyration,0.4361667827784644,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,27,radius_of_gyration,0.7838574951675872,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,28,radius_of_gyration,-0.5288878799218185,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,0,msd_exponent,-0.9316470910304347,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,1,msd_exponent,-0.5073939774085184,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,2,msd_exponent,-0.49278548211944667,0.001,True,253,47
CoT Success vs CoT Failure,G4,G3,3,msd_exponent,-0.486922999270394,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,4,msd_exponent,-0.47750052183834296,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,5,msd_exponent,-0.4809467840340908,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,6,msd_exponent,-0.48852524067525505,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,7,msd_exponent,-0.4745063557615697,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,8,msd_exponent,-0.4979287601528988,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,9,msd_exponent,-0.49689656961329587,0.001,True,253,47
CoT Success vs CoT Failure,G4,G3,10,msd_exponent,-0.49490504385571,0.001,True,253,47
CoT Success vs CoT Failure,G4,G3,11,msd_exponent,-0.49606959042491533,0.001,True,253,47
CoT Success vs CoT Failure,G4,G3,12,msd_exponent,-0.482679450708757,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,13,msd_exponent,-0.468686053748788,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,14,msd_exponent,-0.4615059082922413,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,15,msd_exponent,-0.4460031406836784,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,16,msd_exponent,-0.4367475345298041,0.005,True,253,47
CoT Success vs CoT Failure,G4,G3,17,msd_exponent,-0.4373204952687098,0.004,True,253,47
CoT Success vs CoT Failure,G4,G3,18,msd_exponent,-0.4291285164523167,0.01,True,253,47
CoT Success vs CoT Failure,G4,G3,19,msd_exponent,-0.41270855352438457,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,20,msd_exponent,-0.41694709515846157,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,21,msd_exponent,-0.4053625253263381,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,22,msd_exponent,-0.4037564062553802,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,23,msd_exponent,-0.3829691116341128,0.015,True,253,47
CoT Success vs CoT Failure,G4,G3,24,msd_exponent,-0.37013465654487915,0.021,True,253,47
CoT Success vs CoT Failure,G4,G3,25,msd_exponent,-0.3651142600965895,0.026,True,253,47
CoT Success vs CoT Failure,G4,G3,26,msd_exponent,-0.3448282241687876,0.034,True,253,47
