problem_id,condition,correct,layer,speed,dir_consistency,stabilization,effective_dim,radius_of_gyration,msd_exponent,cos_to_late_window,interlayer_alignment
0,cot,False,0,1.1189732551574707,-0.437372088432312,0.9264906644821167,13.149641036987305,0.8198072910308838,0.980494489378847,0.3727942705154419,
0,cot,False,1,20.45341682434082,-0.43900731205940247,0.9416583776473999,20.035499572753906,14.851999282836914,1.132750866342358,0.3725051283836365,
0,cot,False,2,22.501338958740234,-0.4158584177494049,0.9463366866111755,18.497417449951172,16.948762893676758,1.1292501760765556,0.503454864025116,
0,cot,False,3,28.203723907470703,-0.4074593484401703,0.926500141620636,19.222858428955078,21.49968719482422,1.148486296512086,0.4638448655605316,
0,cot,False,4,31.81129264831543,-0.3846079707145691,0.9177455902099609,19.094104766845703,24.767078399658203,1.141328288323552,0.494403600692749,
0,cot,False,5,35.52092361450195,-0.3672609329223633,0.9412522315979004,19.294063568115234,28.103357315063477,1.156244941037514,0.4834930896759033,
0,cot,False,6,33.89501953125,-0.3702097237110138,0.9488637447357178,17.21234893798828,26.65203285217285,1.1633422027530262,0.5845557451248169,
0,cot,False,7,36.27442169189453,-0.36586618423461914,0.9404838681221008,16.55498504638672,28.611000061035156,1.163996764735659,0.5889770984649658,
0,cot,False,8,38.4970703125,-0.3563134968280792,0.9554561972618103,16.340938568115234,30.639694213867188,1.1438533652253116,0.585008442401886,
0,cot,False,9,39.83037567138672,-0.34356123208999634,0.9418861865997314,17.013593673706055,32.202392578125,1.1490918744213008,0.5479596853256226,
0,cot,False,10,40.32905960083008,-0.3446423411369324,0.9541803598403931,17.43001365661621,32.74622344970703,1.1516601945537945,0.5333414077758789,
0,cot,False,11,40.59209442138672,-0.34008654952049255,0.9532011151313782,16.962350845336914,33.03377151489258,1.1468633661317673,0.5468243360519409,
0,cot,False,12,41.7603759765625,-0.33263546228408813,0.9601963758468628,16.482614517211914,34.3480110168457,1.1570675994594306,0.5629487037658691,
0,cot,False,13,43.34174346923828,-0.3305307924747467,0.9647232294082642,16.468982696533203,35.69068145751953,1.177627246704892,0.5714607238769531,
0,cot,False,14,44.68500518798828,-0.323667049407959,0.9693988561630249,16.658737182617188,37.170623779296875,1.1729283522340503,0.574472188949585,
0,cot,False,15,46.01063537597656,-0.3282821476459503,0.9665522575378418,16.751033782958984,38.09751892089844,1.188255711545991,0.5724737644195557,
0,cot,False,16,45.852447509765625,-0.31552770733833313,0.9661545157432556,16.284992218017578,38.51722717285156,1.1717112760284598,0.5728244781494141,
0,cot,False,17,47.992374420166016,-0.3113251328468323,0.9583534002304077,16.538747787475586,40.51495361328125,1.1634354958677635,0.5807608366012573,
0,cot,False,18,51.36287307739258,-0.3087601065635681,0.9444605708122253,16.184085845947266,43.42681121826172,1.1605689705270847,0.6047463417053223,
0,cot,False,19,55.24020767211914,-0.3087398111820221,0.9284701943397522,15.735496520996094,46.86393737792969,1.1433323265031887,0.6359739303588867,
0,cot,False,20,63.024688720703125,-0.31300896406173706,0.9585542678833008,15.982707977294922,52.786766052246094,1.1234505769857648,0.6236399412155151,
0,cot,False,21,72.07953643798828,-0.31884676218032837,0.970070481300354,16.502872467041016,60.0629768371582,1.113820158891802,0.606837272644043,
0,cot,False,22,82.78855895996094,-0.3235445022583008,0.9672033190727234,15.36645793914795,68.77902221679688,1.0952846781310481,0.6610822677612305,
0,cot,False,23,100.03370666503906,-0.3182055652141571,1.036000370979309,15.070074081420898,83.31513214111328,1.1080963863295223,0.6801162362098694,
0,cot,False,24,116.05148315429688,-0.3145044445991516,1.064111590385437,14.081830024719238,97.40259552001953,1.113994619737132,0.7156079411506653,
0,cot,False,25,133.8035125732422,-0.3217235803604126,1.0773959159851074,12.880550384521484,111.74329376220703,1.1221942883599503,0.7549271583557129,
0,cot,False,26,150.37472534179688,-0.32711538672447205,1.0722734928131104,11.980162620544434,123.80740356445312,1.1432552347327647,0.7775154709815979,
0,cot,False,27,172.92037963867188,-0.3332873284816742,1.0944700241088867,10.630983352661133,141.2851104736328,1.164775132779662,0.8151521682739258,
0,cot,False,28,103.28550720214844,-0.3300797641277313,0.965151846408844,8.223176956176758,88.75814056396484,1.0287619355174316,0.84450364112854,
0,cot,False,-1,,,,,,,,0.8733087182044983
0,direct,False,0,1.0178205966949463,-0.3916584849357605,1.0182362794876099,8.960127830505371,0.7400841116905212,0.949797987306675,0.6925766468048096,
0,direct,False,1,18.882068634033203,-0.40242093801498413,1.037454605102539,16.35492706298828,13.606115341186523,1.1033185442109892,0.5231953859329224,
